title,author,doc_id,parent,text
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",StuffinMuffin,Themoreyouus,0,"I figured this would be the case.  With the introduction of upfront pricing, Uber can charge customers anything they want.  They will ask for any amount riders are willing to pay.  I have heard cases where during the hours when the business users are out, the overall fare goes up.  Trips to and from airports? You guessed it.  It'll go up because people are willing to pay.All the cheap Uber fares that we have gotten accustomed to are about to go out the window.  Regulators and law makers who shoved the taxis out.  Are you happy now?  What about those Uber fans who said, ""Uber is better and cheaper.  Screw the taxis.  Stronger survives.""  So irresponsible.  Here's the proof:""Uber appears to have the opposite of a rewards program. That is, it appears the more you use Uber as a passenger, the more they’re going to charge you per mile. Weknow Uber said they were going to experimenton charging different customers different rate, based on a variety of unpublished factors. My current belief is the more you use the service in a way that suggests you can afford more, the more they will charge you.""https://therideshareguy.com/uber-is-ripping-off-frequent-riders-and-heres-how-to-avoid-it/"
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",LavishHaze,20047,Themoreyouus,Uber is such a shitty company. I’ve spent more on Uber than than my actual travel. One time it was around the time 5pm and normally my fare is aboit $50 and suddenly it jumped to $170. That’s a huge jump then I waited 5-10 minutes then it went to $80 and then back at $50. What kind of bullshit is that? That is more than double my original fair?  That’s 350% more. Wtf! There excuse of more in demand is such bullshit because if I wait 5 min the price changes. It’s just to see if people are willing to pay high in panic of pretending as if the customer won’t get a Uber in time. It’s no different than online shopping and then say “12 people have this in their cart” or “this item is about to sell out” wait the 5-10 minutes and you’ll see how the price goes down. Uber knows what they’re doing.
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",8omartins8,19630,Themoreyouus,It happened to me and I chose to take Didi. Simple.
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",Rupert2020,19800,19630,no didi choice here in US
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",reliablerider,19945,Themoreyouus,The cost of a ride from a ride-sharing app like Uber or Lyft has increased in recent years. Many riders have also noticed increased wait times for rides. The main reason may be shortage of drivers.
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",8omartins8,19629,Themoreyouus,It happened to me and I chose Didi instead Uber. Simple!
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",FitBitMeIn,3139,Themoreyouus,"What a tactic.  Uber initially set the prices of rides VERY low to undercut taxi companies.  Now that the taxi industry is in shambles, they decide to raise the fares to whatever they want.Soon, I am sure Uber will be more expensive than taxis.  Why wouldn't they, right? They dominate the market now.Uber's taxi takeover has been completed successfully.  Congratulations!!!!"
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",scotchyscotchyscotch,3186,3139,This is an age-old tactic. Predatory pricing. It was especially effective in this case since the taxis couldn't even try to compete since their pricing is regulated.If you ask me the local governments screwed this up. They should have regulated Uber when they had the chance. The cat's out of the bag now.
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",bombazine,3187,3186,Or maybe they never should have stifled the free market in the first place...
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",FitBitMeIn,3210,3186,"It's the whole Starbucks tactic.  Build a store right next to an existing and successful coffee shop to compete.  Advertise it nationally then make the coffee half as much.  Run crazy promotions.Run that for 6~12 months.  Let the famous coffee shop that was there for 35 years close its doors.Then end all promotions, jack up the prices, and let the millenials spend $7 on a latte."
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",Murfdturf,3181,3139,"Blame should also rest in the hands of the taxi industries, who should have embraced the new technologies.How dificult would it have been to provide all cabs with GPS and give their customers the service that would then be available?Then customers would have had properly licenced, trained and insured professionals looking after them."
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",SmittenKitten,3207,3181,"The reason the taxi industry couldn't respond was that they aren't centrally owned or managed.  It was all distributed and locally regulated.  There were some strong entities and large unions like NYC/TLC, Pittsburgh, and mega-taxi companies in Chicago, but they were not able to respond, build a technology stack/platform, and have the large enough influence like Uber could.Uber was also working on a leverage and had access to billions of dollars (to spend on lobbyists, etc.) while the taxi companies were working for a profit, and a thin one at that."
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",chawes,3185,3181,I think the taxi industry figured the government would regulate the Ubers out of existence. How could they not?
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",faustomedina88,18818,Themoreyouus,"It's ridiculous.  I request a trip to my job. It was usually like $35, but last time was $50 (because ""it was busy"").I tried another day and checked. Same trip from home to job. Now the fare was $110 !!!! (Because it was busy) I immediately changed the destination address (a hospital that is front of my job) and the fare was $30 !!!!😐Wow, they are really taking advantage of people necessity.  Luckily I got my car back from the mechanic."
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",AsStibelDude,18876,18818,"Haven't you heard? Uber can charge whatever they want now.Basically, Uber charges whatever the rider is willing to pay.It isn't based on time and distance anymore.Uber quietly has updated their official pricing policy, and they updated their websites and disclaimers too.Do you know what's really messed up? The drivers aren't even told how much the rides are, and they are only paid a negotiated rate based on time and distance.  So they get paid the same amount regardless of what the riders are paying. It's not a percentage anymore."
