title,author,doc_id,parent,text
usa driver staying in downtown montreal. question,,449889,0,
usa driver staying in downtown montreal. question,bobby747,7218038,449889,"hello guys, questions if i park downtown. is it better too see the downtown by leaving the car in parking lot and taking uber all over. are wait times long.coming in 2 weeks, dont care about the money worried suv get all scratched up in the city like my city,,,thanks in advances , in toronto 2 years ago it was great leaving car parked. thanks."
usa driver staying in downtown montreal. question,Mike Raffone-microphone,7228841,7218038,"bonjour les gars, des questions si je me gare au centre-ville. est-il préférable de voir le centre-ville en laissant la voiture dans le parking et en prenant uber partout. les temps d’attente sont longs.à venir dans 2 semaines, ne vous souciez pas de l’argent inquiet suv se faire rayer dans la ville comme ma ville,,,merci d’avances, à toronto il y a 2 ans c’était génial de laisser la voiture garée. merci.Bobby, l tried translating in French. Maybe you'll get an answer that way. Enjoy your vacation in Montreal."
usa driver staying in downtown montreal. question,bobby747,7243775,449889,drove my own car suv parking was steep. but ok begals were great. beef so so. malls nice. the mountains were great...
Driving a Tesla Model 3,,343476,0,
Driving a Tesla Model 3,Tesla007,5248244,343476,"Hi Guys,is it worth driving a tesla model 3 for uber? is anyone here driving one? what can be expected drving 20hrs a week?Thanks"
Driving a Tesla Model 3,Who is John Galt?,5248258,5248244,"You will make an absolute fortune!However, be warned, you will need every penny of the rivers of gold that will flow your way to impress and undress all the babes attracted by the model 3.Please don't forget to maintain a realistic level of supplements as the lifestyle can be draining.Good luck. :smiles:."
Driving a Tesla Model 3,Tesla007,5248665,5248258,Thank you
Driving a Tesla Model 3,DanW,5317400,343476,"I have been driving my Zero-options Tesla Model 3 SR+ for UberX for a couple of weeks, mostly 3-6PM after my day job and a few early mornings (~5-7AM).~80% of pax comment about how nice it is,~30% of those are SUPER STOKED to be in a Tesla and ask all the Qs~30% give up before figuring out how to open the door and I have to say ""hold in the wide part at the back and the handle will pivot out"""
Driving a Tesla Model 3,Another Uber Driver,5321314,5317400,"I had one of the early hybrid cabs in Washington, D.C. and got similar reactions. Now, the hybrid cabs are commonplace. We have a few electric cabs, but, no one has a Tesla cab, as far as I know. All of the pure electric cabs here are Kia.I do know one guy who has a Tesla that he is using in the exurbs for UberX. He recently bought it and is happy with it. As he is far out from the city, he does say that most of his trips are short to mediocre."
