title,author,doc_id,parent,text
Should Uber drivers have to get physicals?,MikeMill,ShouldUberdr,0,"How come no one ever talks about the physical side of Uber drivers. Everyone focuses on the background checks but shouldn't drivers have to be cleared from any pre-existing conditions that would make them dangerous drivers?? All taxi, public transportation drivers have to pass physicals and I think Uber drivers should too."
Should Uber drivers have to get physicals?,Bigfrank,20126,ShouldUberdr,"I can tell you what 30 plus years of driving gave me starting from the bottom : foot pain, vericose , leg cramps , hemmoroids, back pain, enlarged prostrate , digestive issues, acid reflux, finger and wrist pain neck pain and headaches ."
Should Uber drivers have to get physicals?,MikeMill,20130,20126,"Oof, that sucks! I hadn't thought about the opposite side of driver health like this either - the effects it has on the drivers. And of course it's not like Uber offers health insurance..."
Should Uber drivers have to get physicals?,RedANT,20125,ShouldUberdr,"There are a lot of dangerous rideshare drivers, but most are dangerous due to their driving habits and (in)experience, and not based on a physical disability.  What situations have you seen that indicate that physical conditions are a problem?"
Should Uber drivers have to get physicals?,MikeMill,20129,20125,"I guess I haven't seen anything first hand, but this thought just struck me the other day. You could have a driver whose eyesight is poor or is at high risk for a stroke or heart attack while driving. I just find it interesting that there is no physical to become a rideshare driver."
Should Uber drivers have to get physicals?,RedANT,20131,20129,"Most Americans are ""at risk"" of heart attack or stroke, and having an arbitrary A1C requirement for consideration as a rideshare would unnecessarily destroy the pool of available drivers. You also (potentially) run into medical privacy issues, as well as violations of the ADA if disabled drivers are unreasonably excluded from employment.My late husband, an absolutely ripped retired US Marine, died from a heart attack while working out. Sometimes bad things happen to physically fit people too.   As a disabled driver who has driven hundreds of thousands of miles over the years, (with only one speeding ticket ~40 years ago) I'm as safe a driver as you can find, but because of a irrelevant disability, I'd probably be kicked to the curb.  I just don't see the merit of ""screening"" for problems where none really exist."
"Uber driver turns tables on armed robbers, shoots both of them instead!",AlbertK,Uberdrivertu,0,"This is why we have a right to arms!!!! One robber is dead, another critically wounded, and apparently a third escaped. The Uber driver emerged unscathed - HERO!https://nypost.com/2021/11/21/uber-driver-turns-tables-on-armed-robbers-shooting-two/"
"Uber driver turns tables on armed robbers, shoots both of them instead!",actingfool,20121,Uberdrivertu,This is how the system is supposed to work
"Uber driver turns tables on armed robbers, shoots both of them instead!",chipsavoy,20113,Uberdrivertu,DAMN! I love stories like this😂
Is now a good time to drive for Uber?,richleham,Isnowagoodti,0,"Drivers (that are left out there! lol)!! Is now a good time to sign up an drive? Are you making good money with all the surges? Curious if I should give it a go a make some extra holiday cash, thanks!"
Is now a good time to drive for Uber?,breakingbread,20122,Isnowagoodti,I find people dont tip much anymore so that sucks but the surge is pretty good...
Is now a good time to drive for Uber?,blackandyellow,20115,Isnowagoodti,"I think it depends on where you are located but in general, yes, do it!"
Is now a good time to drive for Uber?,reliablerider,20100,Isnowagoodti,Of course. this is a preferrable time to drive for UBER.
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",StuffinMuffin,Themoreyouus,0,"I figured this would be the case.  With the introduction of upfront pricing, Uber can charge customers anything they want.  They will ask for any amount riders are willing to pay.  I have heard cases where during the hours when the business users are out, the overall fare goes up.  Trips to and from airports? You guessed it.  It'll go up because people are willing to pay.All the cheap Uber fares that we have gotten accustomed to are about to go out the window.  Regulators and law makers who shoved the taxis out.  Are you happy now?  What about those Uber fans who said, ""Uber is better and cheaper.  Screw the taxis.  Stronger survives.""  So irresponsible.  Here's the proof:""Uber appears to have the opposite of a rewards program. That is, it appears the more you use Uber as a passenger, the more they’re going to charge you per mile. Weknow Uber said they were going to experimenton charging different customers different rate, based on a variety of unpublished factors. My current belief is the more you use the service in a way that suggests you can afford more, the more they will charge you.""https://therideshareguy.com/uber-is-ripping-off-frequent-riders-and-heres-how-to-avoid-it/"
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",LavishHaze,20047,Themoreyouus,Uber is such a shitty company. I’ve spent more on Uber than than my actual travel. One time it was around the time 5pm and normally my fare is aboit $50 and suddenly it jumped to $170. That’s a huge jump then I waited 5-10 minutes then it went to $80 and then back at $50. What kind of bullshit is that? That is more than double my original fair?  That’s 350% more. Wtf! There excuse of more in demand is such bullshit because if I wait 5 min the price changes. It’s just to see if people are willing to pay high in panic of pretending as if the customer won’t get a Uber in time. It’s no different than online shopping and then say “12 people have this in their cart” or “this item is about to sell out” wait the 5-10 minutes and you’ll see how the price goes down. Uber knows what they’re doing.
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",8omartins8,19630,Themoreyouus,It happened to me and I chose to take Didi. Simple.
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",Rupert2020,19800,19630,no didi choice here in US
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",FitBitMeIn,3139,Themoreyouus,"What a tactic.  Uber initially set the prices of rides VERY low to undercut taxi companies.  Now that the taxi industry is in shambles, they decide to raise the fares to whatever they want.Soon, I am sure Uber will be more expensive than taxis.  Why wouldn't they, right? They dominate the market now.Uber's taxi takeover has been completed successfully.  Congratulations!!!!"
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",scotchyscotchyscotch,3186,3139,This is an age-old tactic. Predatory pricing. It was especially effective in this case since the taxis couldn't even try to compete since their pricing is regulated.If you ask me the local governments screwed this up. They should have regulated Uber when they had the chance. The cat's out of the bag now.
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",bombazine,3187,3186,Or maybe they never should have stifled the free market in the first place...
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",FitBitMeIn,3210,3186,"It's the whole Starbucks tactic.  Build a store right next to an existing and successful coffee shop to compete.  Advertise it nationally then make the coffee half as much.  Run crazy promotions.Run that for 6~12 months.  Let the famous coffee shop that was there for 35 years close its doors.Then end all promotions, jack up the prices, and let the millenials spend $7 on a latte."
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",Murfdturf,3181,3139,"Blame should also rest in the hands of the taxi industries, who should have embraced the new technologies.How dificult would it have been to provide all cabs with GPS and give their customers the service that would then be available?Then customers would have had properly licenced, trained and insured professionals looking after them."
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",SmittenKitten,3207,3181,"The reason the taxi industry couldn't respond was that they aren't centrally owned or managed.  It was all distributed and locally regulated.  There were some strong entities and large unions like NYC/TLC, Pittsburgh, and mega-taxi companies in Chicago, but they were not able to respond, build a technology stack/platform, and have the large enough influence like Uber could.Uber was also working on a leverage and had access to billions of dollars (to spend on lobbyists, etc.) while the taxi companies were working for a profit, and a thin one at that."
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",chawes,3185,3181,I think the taxi industry figured the government would regulate the Ubers out of existence. How could they not?
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",faustomedina88,18818,Themoreyouus,"It's ridiculous.  I request a trip to my job. It was usually like $35, but last time was $50 (because ""it was busy"").I tried another day and checked. Same trip from home to job. Now the fare was $110 !!!! (Because it was busy) I immediately changed the destination address (a hospital that is front of my job) and the fare was $30 !!!!😐Wow, they are really taking advantage of people necessity.  Luckily I got my car back from the mechanic."
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",AsStibelDude,18876,18818,"Haven't you heard? Uber can charge whatever they want now.Basically, Uber charges whatever the rider is willing to pay.It isn't based on time and distance anymore.Uber quietly has updated their official pricing policy, and they updated their websites and disclaimers too.Do you know what's really messed up? The drivers aren't even told how much the rides are, and they are only paid a negotiated rate based on time and distance.  So they get paid the same amount regardless of what the riders are paying. It's not a percentage anymore."
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",jereysays,18827,18818,"Wow, this is so blatant! Smart to change the destination location slightly."
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",8omartins8,19629,Themoreyouus,It happened to me and I chose Didi instead Uber. Simple!
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",CrazyCrayons,3137,Themoreyouus,"So if you are desperate for a ride, the price will go up.You better not tell your Uber driver if your wife is in labor.  It'll be $100 a mile."
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",dShaperoMDM,3138,3137,Perhaps that's capitalism and we should embrace it.   Demand based pricing.
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",Marc88,3176,3138,"Yes, it’s capitalism. Late capitalism is all about monopolization, the dominance of consolidated wealth, and the leverage of accumulated capital which has actually eroded competition, diminished the marketplace, and as predicted by Marx, destroyed private property (the fruits of individual labor), the opposite of what it started out to do. Yes, yes, by all means let’s embrace it, as we do the eviseration of nature and our planet."
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",DimSumUng,3222,3176,"All contraversies lead capitalism vs socialism discussions. Good job, guys."
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",BGraft89,3223,3222,Is your screen name a joke?  I can't tell if it is your real name or a Chinese cuisine joke. No offense.
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",DWang02,3209,3176,"Capitalism cannot exist without intervention, certainly not in a stable form.  SEC, anyone?You fundamentalists, please stop hiding behind an illusion of a free market just to get what you want.  the rich gets richer, you call that success?"
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",RainbowRash,3226,3137,LOL $100 and hour. It'll be tax deductible at least. Actually I have no idea.This reminds me of the test surge of 50X they ran in another city.
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",HuhnHuhn,3224,3137,"That's why you gotta be all chill about it and make comments like, ""we get there when we get there."" ""The baby will come when it wants to."" And ""oh that, she likes to fake it."""
"The more you use Uber, the more expensive it gets. (Upfront Pricing)",LandLoverRover,3225,3224,"Or""I know a much better competition and the insurance covers it. It's called an Ambulance."""
