title,author,doc_id,parent,text
Bonus with Uber,,457196,0,
Bonus with Uber,mrwhts,7335650,457196,Anyone getting horrible bonus with Uber. I have not driven in bit since the bonus has been crap. Also average pickups are stupidly far.Does Uber think it will keep drivers with 10-15 an hour?
Bonus with Uber,BrainDead Driver,7335667,457196,The bonuses all ran out here as well in detroit mi . I was getting a good bonus of 100 extra per 10 rides in a different city . With out that 100 extra that city is trash short rides all college town. Heavy traffic one way streests stop and go .Expect to earn 12 an hour max in that city . It was a 40 minute ride to get there each way but worth the additional 100 .Now the bonus are something like this . 40 rides get an additional 25 dollars !!! Wow uber thanks .Uber in detroit i expect to earn 12 to 15 an hour grinding rides one after another back to back Tearing my car apart . Gas is 3.40 here as well . So real world profit is more in the 12 dollar range minus wear and tear . Really there is no profit . rate card uber .11 and .60 shit . Lyft its .75 and 11 . Lyft also zero bonuses .Lyft with out bonsues i expect to earn 15 an hour plus or minus Again fuel 3.20 to 3.59 here. So about 13 an hour .Mc donalds pays 16 to start here
So Uber keeps telling us reported earnings are way higher,,455212,0,
So Uber keeps telling us reported earnings are way higher,mrwhts,7303327,455212,"Yet if you google this is about right. Even indeed site shows people are reporting this.Uber Driver in Kansas City, MO Area SalariesJob TitleLocationSalaryUber Uber Driver salaries - 2 salaries reportedKansas City, MO Area$11/hrUber Uber Driver salaries - 2 salaries reportedKansas City, MO Area$16/hrUber UberX Driver salaries - 3 salaries reportedKansas City, MO Area$24,228/yr"
So Uber keeps telling us reported earnings are way higher,W00dbutcher,7304110,455212,Ever notice it always says earnings are higher then normal this time of day in the apt? Have yet to see earnings the same or lower the normal.So by this single statement earnings are always rising... But do you ever see the steady increase of earnings?
So Uber keeps telling us reported earnings are way higher,jfinks,7304969,7303327,"Not nearly enough data points to determine the actual rate of pay. I consider $ per mile more important than $ per hour. A full time driver should be able to gross about 50-60k per year. That is like 1000/1200 a week for 50 weeks a year. That is 50k-60k if done right and is largely tax free at the end of the year. But you pay your tax in the form of gas, repairs, tires, etc.I know I can go out every single day of the year (counting 50 weeks) and work 3 hours and make $75 in just 2 airport rides a day. That is over 26k per year.I think to do it right at this point is pick one platform and stick to it as much as possible to get the 2 times a week bonuses on Uber. That is 2-300 a week right there for about 80-100 trips. You should have a trip average of around $7-8. so that is 800 + bonuses. None of this includes tips, high surge amounts or 3 trip streaksYou need to keep lyft as a side chick though as it can come in handy sometimes."
It's gonna be a Lyft weekend in KC,,451027,0,
It's gonna be a Lyft weekend in KC,NGOwner,7235590,451027,$250 bonus for 20 rides.$375 guarantee for 30 rides.Stackable.Guarantee of $625 for 30 rides.$20.83 minimum per ride.Yes please![NG]Owner
It's gonna be a Lyft weekend in KC,NGOwner,7239867,451027,"Petered out after 20 rides.9.5 hours away from home357 miles driven246 miles paid$544 in total revenue generated, of which $44.23 were tips (9/20 rides tipped)$57.33/hrHad I been able to go another 10 rides, I would have needed to average less than $12.46 across the last 10 rides to trigger any guarantee payment. My first 20 rides averaged $12.52, so that made the decision to stop easier. If I could have guaranteed myself 10 min fares, I might have continued. Since I couldn't, I cut bait. Besides, I had too much other stuff going on this weekend.All in all, a great weekend. I wonder when Lyft will send me another bonus opportunity ....[NG]Owner"
