title,author,doc_id,parent,text
Update:Team Dynamics Wheels for your Fiesta ST!,,1182,0,
Update:Team Dynamics Wheels for your Fiesta ST!,PCA-1,20887,1182,///////////////////////////
Update:Team Dynamics Wheels for your Fiesta ST!,PCA-1,21109,1182,Sets are selling!
Update:Team Dynamics Wheels for your Fiesta ST!,PCA-1,25302,1182,Sets are selling!
Update:Team Dynamics Wheels for your Fiesta ST!,PCA-1,27003,1182,Availability updated!
Update:Team Dynamics Wheels for your Fiesta ST!,PCA-1,28765,1182,Inventory update!
Update:Team Dynamics Wheels for your Fiesta ST!,PCA-1,31290,1182,Inventory update!
Update:Team Dynamics Wheels for your Fiesta ST!,hollywood,31803,1182,Those Pro Race 1.2 in anthracite = awesome. Must. Resist....
Update:Team Dynamics Wheels for your Fiesta ST!,PCA-1,31804,31803,Resistance is futile. Don't deprive yourself!
Update:Team Dynamics Wheels for your Fiesta ST!,PCA-1,33823,1182,New inventory beginning to arrive late January! Check the inventory for resell opportunities.
Update:Team Dynamics Wheels for your Fiesta ST!,PCA-1,34454,1182,2015 has begun!!!
Update:Team Dynamics Wheels for your Fiesta ST!,Applejack,34455,34454,Duh!
Update:Team Dynamics Wheels for your Fiesta ST!,RodMoe,34456,1182,So would love another set or 15x8 in black for my wet race tires but it is low on my to do list atm.. GLWS Chalon...
Update:Team Dynamics Wheels for your Fiesta ST!,PCA-1,35187,1182,Pricing is up!
Update:Team Dynamics Wheels for your Fiesta ST!,BlackBird,35191,1182,"Someday, I'll snag a set of 15x8s. Also have to find a good tire to fit on those. Either too narrow, or straight up DOT stamped R-comps. :/ Nice pricing."
Update:Team Dynamics Wheels for your Fiesta ST!,kamakazee,35220,1182,"Chalon, you're killing me! That High Power Silver set in 18X8 is so tempting... Do you have any pics of Fiestas with that color wheel?"
Update:Team Dynamics Wheels for your Fiesta ST!,PCA-1,35221,35220,Not that I am aware of. Let me see what I can come up with.
Update:Team Dynamics Wheels for your Fiesta ST!,PCA-1,35223,35220,"HPS is hard for me to replicate as my skills suck. That being said, the 1st pic is most realistic in color, but is of a 15"" wheel. The second pic is of an 18"" wheel so you can get a feel for the 18"" spoke length.Note, I do not have any more 18x8/4x108 on the way."
Update:Team Dynamics Wheels for your Fiesta ST!,PCA-1,35393,1182,Sets are selling!
Update:Team Dynamics Wheels for your Fiesta ST!,kamakazee,35402,1182,"Awesome, thanks for doing that Chalon! Now I have something to ponder over..."
Update:Team Dynamics Wheels for your Fiesta ST!,felopr,35404,1182,i wonder how the PB FiST would look with the gold rims...
